数据条数为10
学号 姓名 语文 数学 英语 总分 平均分 总分排名 语文排名 数学排名 英语排名
1 张三 85.000000 90.000000 92.000000 267.000000 89.000000 5 6 5 2
2 李四 78.000000 88.000000 80.000000 246.000000 82.000000 9 9 2 10
3 王五 92.000000 95.000000 89.000000 276.000000 92.000000 1 2 9 5
4 赵六 80.000000 82.000000 88.000000 250.000000 83.333336 8 8 3 6
5 刘七 87.000000 91.000000 85.000000 263.000000 87.666664 6 5 6 7
6 陈八 76.000000 79.000000 81.000000 236.000000 78.666664 10 10 1 9
7 周九 89.000000 92.000000 90.000000 271.000000 90.333336 3 4 7 4
8 钱十 93.000000 85.000000 91.000000 269.000000 89.666664 4 1 10 3
9 孙十一 84.000000 87.000000 83.000000 254.000000 84.666664 7 7 4 8
10 吴十二 91.000000 89.000000 92.000000 272.000000 90.666664 2 3 8 1
